,客户次类别,每房人数,客户主类别,新教比例,无宗教比例,已婚占比,同居占比,其它关系占比,单身占比,有子女,高等教育,中等教育,低等教育,高管,企业家,农场主,中层管理者,技术工人,非熟练劳工,社会阶层A,社会阶层B1,社会阶层C,社会阶层D,租房子,房主,一辆车,无车,公共社保,私人社保,收入低于30,收入45-75,收入75-122,平均收入,购买力水平,个人第三方保险,农业第三方险,投保车险,投保房车险,投保拖拉机险,投保农机险,投保机动自行车险,投保寿险,投保家庭意外险,投保身残险,投保火险,投保冲浪险,投保船险,投保自行车险,投保社会安全险,第三方私人险数量,第三方农业险数量,投保车险数量,投保拖拉机险数量,投保农机险数量,投保机动自行车险数量,投保寿险数量,投保家庭意外险数量,投保身残险数量,投保火险数量,投保冲浪险数量,投保船险数量,投保自行车险数量,投保财产险数量,投保社会安全险数量,移动房车险数量
3144,2,2,1,5,2,7,0,2,2,3,0,0,9,0,0,0,2,7,0,0,0,9,0,5,4,9,0,9,0,5,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2850,32,3,7,2,5,3,1,6,0,4,4,5,0,1,0,0,3,2,4,0,0,4,0,9,0,5,4,7,2,0,5,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5558,8,2,2,6,3,9,0,0,0,4,0,9,0,0,0,0,5,0,4,0,0,3,0,5,4,7,0,7,2,0,0,0,3,7,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3506,3,2,1,5,3,5,1,4,2,2,2,3,4,4,1,0,2,4,1,3,1,4,1,2,7,5,3,5,4,1,4,3,6,6,2,0,6,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
4881,12,4,3,4,2,9,0,0,0,8,2,4,4,2,0,0,7,1,0,0,3,3,0,2,7,9,0,9,0,0,4,5,8,7,2,0,6,0,0,0,0,0,3,0,4,0,0,0,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
3476,9,3,3,4,1,7,1,1,1,5,1,6,2,1,0,0,6,1,2,1,4,3,1,4,5,4,3,7,2,2,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3114,1,3,1,4,4,9,0,0,0,9,4,5,0,7,0,0,2,0,0,7,0,0,0,0,9,7,0,0,9,0,7,0,5,8,2,0,5,0,0,0,0,5,0,0,4,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
5613,33,3,8,4,3,7,1,1,1,4,1,2,7,2,1,1,1,4,2,2,1,5,1,2,7,4,2,7,2,3,3,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4536,13,2,3,2,5,3,4,3,3,3,6,2,2,6,0,0,2,2,0,6,2,2,0,7,2,7,0,3,6,2,6,0,4,6,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
5747,8,3,2,2,7,9,0,0,0,4,3,5,1,5,0,1,3,1,0,5,3,1,0,5,4,9,0,5,4,1,4,1,4,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
